,ESPECIE,SEXO,HABITAT,PESO_g,TAMANHO_cm,BICO_mm,ASA_cm
8082,PICA-PAU,FEMEA,MOSQUEIRO,52.978,23.289,22.116,9.147
8083,ANAMBE,MACHO,MOSQUEIRO,75.235,24.749,14.984,11.964
8084,ANAMBE,MACHO,,92.391,23.61,15.966,14.948
8085,ANAMBE,MACHO,MOSQUEIRO,69.711,18.389,15.715,14.269
8086,ANAMBE,MACHO,MARAJO,86.192,26.276,18.453,14.957
8087,PICA-PAU,FEMEA,MOSQUEIRO,59.682,19.177,21.111,10.881
8088,PICA-PAU,MACHO,MOSQUEIRO,66.558,23.376,27.648,12.274
8089,ANAMBE,FEMEA,MARAJO,79.019,20.822,15.06,12.545
8090,ANAMBE,MACHO,MARAJO,84.839,21.67,17.904,12.708
8091,PICA-PAU,FEMEA,MOSQUEIRO,48.784,20.108,22.817,8.784
8092,ARARA AZUL,FEMEA,MARAJO,1112.643,88.072,89.738,24.847
8093,ANAMBE,MACHO,MOSQUEIRO,79.711,21.934,13.942,13.368
8094,PICA-PAU,FEMEA,MOSQUEIRO,52.254,19.773,19.931,10.881
8095,ANAMBE,FEMEA,MOSQUEIRO,65.422,16.15,12.768,12.724
8096,PICA-PAU,FEMEA,MOSQUEIRO,55.774,20.576,22.156,10.148
8097,ANAMBE,FEMEA,MOSQUEIRO,69.421,18.001,14.041,15.779
8098,ARARA AZUL,MACHO,MARAJO,1208.238,96.36,101.365,36.518
8099,PICA-PAU,FEMEA,MOSQUEIRO,57.412,20.783,23.343,11.396
8100,ANAMBE,MACHO,MOSQUEIRO,86.44,17.989,14.34,12.517
8101,ANAMBE,MACHO,MOSQUEIRO,75.177,19.363,14.968,11.442
8102,ANAMBE,MACHO,MOSQUEIRO,77.452,24.084,15.294,14.69
8103,ARARA AZUL,MACHO,MARAJO,1556.121,102.28,107.843,36.216
8104,ARARA AZUL,FEMEA,MARAJO,1184.202,84.16,95.931,27.467
8105,ANANBE,MACHO,MOSQUEIRO,80.257,24.356,14.158,12.772
8106,PICA-PAU,MACHO,MOSQUEIRO,64.955,25.894,27.429,11.219
8107,ANAMBE,FEMEA,MOSQUEIRO,73.141,15.108,12.31,15.265
8108,ARARA AZUL,FEMEA,MARAJO,1016.126,87.023,86.739,31.711
8109,ANAMBE,MACHO,MARAJO,85.443,20.162,18.06,15.462
8110,ANAMBE,MACHO,MOSQUEIRO,87.979,23.856,16.176,12.461
8111,ARARA AZUL,FEMEA,MARAJO,1295.879,94.054,93.839,33.812
8112,ANAMBE,FEMEA,MOSQUEIRO,73.27,16.749,14.206,13.428
8113,ARARA AZUL,FEMEA,MARAJO,1233.898,90.961,82.026,32.32
8114,PICA-PAU,FEMEA,MOSQUEIRO,51.811,20.084,20.115,8.98
8115,ANAMBE,MACHO,MOSQUEIRO,84.332,25.255,14.859,14.464
8116,PICA-PAU,FEMEA,MOSQUEIRO,47.025,21.138,19.07,10.387
8117,ARARA AZUL,FEMEA,MARAJO,1038.297,83.362,87.992,31.731
8118,ARARA AZUL,MACHO,MARAJO,1561.38,97.716,103.742,34.993
8119,ARARA AZUL,MACHO,MARAJO,,102.118,97.111,34.564
8120,ANAMBE,FEMEA,MOSQUEIRO,74.165,16.624,13.418,12.867
8121,ARARA AZUL,MACHO,MARAJO,1401.206,100.78,95.709,43.13
8122,ANAMBE,MACHO,MOSQUEIRO,80.349,24.085,14.362,14.527
8123,PICA-PAU,FEMEA,MOSQUEIRO,55.947,19.131,22.512,11.101
8124,PICA-PAU,MACHO,MOSQUEIRO,66.166,22.014,27.079,12.532
8125,ARARA AZUL,FEMEA,MARAJO,1254.456,94.775,94.292,29.428
8126,ANAMBE,MACHO,MARAJO,78.362,22.04,17.471,13.572
8127,ANAMBE,MACHO,MOSQUEIRO,78.355,20.12,15.908,15.697
8128,ANAMBE,FEMEA,MOSQUEIRO,74.563,18.39,14.492,12.334
8129,ARARA AZUL,MACHO,MARAJO,1394.774,95.214,100.966,36.224
8130,ARARA AZUL,FEMEA,MARAJO,1250.849,86.492,85.098,30.617
8131,ANAMBE,FEMEA,MOSQUEIRO,73.418,16.196,12.272,15.83
8132,PICA-PAU,FEMEA,MOSQUEIRO,56.999,21.136,24.904,9.395
8133,PICA-PAU,FEMEA,MOSQUEIRO,52.642,19.502,24.585,9.858
8134,ARARA AZUL,MACHO,MARAJO,1337.041,112.155,108.369,42.407
8135,ANAMBE,FEMEA,MOSQUEIRO,73.717,16.479,13.106,12.39
8136,ANAMBE,FEMEA,MOSQUEIRO,74.463,18.305,13.131,12.957
8137,PICA-PAU,MACHO,MOSQUEIRO,67.32,22.865,23.51,11.634
8138,ANAMBE,MACHO,MARAJO,78.085,24.302,17.093,12.191
8139,PICA-PAU,FEMEA,MOSQUEIRO,56.973,20.306,23.708,9.11
8140,ANAMBE,FEMEA,MARAJO,75.638,18.253,14.399,12.778
8141,ARARA AZUL,MACHO,MARAJO,1601.002,110.802,100.858,34.567
8142,ARARA AZUL,MACHO,MARAJO,1381.411,110.844,95.471,35.059
8143,PICA-PAU,MACHO,MOSQUEIRO,64.565,23.047,26.352,13.564
8144,PICA-PAU,FEMEA,MOSQUEIRO,52.486,19.335,24.655,8.283
8145,PICA-PAU,FEMEA,MOSQUEIRO,58.083,20.681,24.283,10.1
8146,ANAMBE,MACHO,MOSQUEIRO,81.853,17.278,15.049,14.627
8147,ARARA AZUL,FEMEA,MARAJO,1060.317,100.009,79.746,26.929
8148,ARARA AZUL,FEMEA,MARAJO,1372.955,91.111,97.426,30.719
8149,ARARA AZUL,FEMEA,MARAJO,1351.06,98.659,90.845,32.933
8150,ANANBE,FEMEA,MARAJO,66.488,20.076,14.521,14.005
8151,ANAMBE,MACHO,MOSQUEIRO,82.126,21.054,16.298,15.572
8152,ARARA AZUL,FEMEA,MARAJO,895.972,96.958,90.174,32.013
8153,ARARA AZUL,FEMEA,MARAJO,1343.626,91.39,97.225,34.6
8154,ANAMBE,MACHO,MOSQUEIRO,81.49,21.263,14.733,12.308
8155,PICA-PAU,MACHO,MOSQUEIRO,61.149,21.657,24.505,11.909
8156,ANAMBE,MACHO,MOSQUEIRO,82.056,19.949,14.568,13.668
8157,ANAMBE,FEMEA,MOSQUEIRO,60.891,17.933,12.808,12.672
8158,ANAMBE,MACHO,MARAJO,89.872,23.205,17.838,11.349
8159,ANAMBE,MACHO,MOSQUEIRO,76.228,17.352,14.895,14.274
8160,ARARA AZUL,FEMEA,MARAJO,1477.989,92.591,100.187,31.003
8161,ANAMBE,FEMEA,MARAJO,67.624,18.738,14.719,14.215
8162,ARARA AZUL,MACHO,MARAJO,1381.568,101.833,105.218,36.308
8163,ARARA AZUL,MACHO,MARAJO,1444.365,97.732,93.326,32.718
8164,PICA-PAU,MACHO,MOSQUEIRO,65.7,21.373,21.984,9.853
8165,PICA-PAU,MACHO,MOSQUEIRO,64.293,19.994,28.612,11.326
8166,ANAMBE,FEMEA,MARAJO,70.605,19.097,13.839,12.3
8167,ANAMBE,FEMEA,MOSQUEIRO,73.807,16.52,12.746,13.172
8168,PICA-PAU,MACHO,MOSQUEIRO,74.244,24.428,26.704,10.017
8169,ARARA AZUL,FEMEA,MARAJO,1421.865,84.634,94.89,28.561
8170,ANAMBE,MACHO,MOSQUEIRO,77.092,21.47,14.44,13.25
8171,ARARA AZUL,MACHO,MARAJO,1357.49,101.217,86.069,41.294
8172,ARARA AZUL,FEMEA,MARAJO,955.431,88.215,86.581,32.468
8173,ANAMBE,MACHO,MOSQUEIRO,80.087,18.521,15.938,13.744
8174,PICA-PAU,FEMEA,MOSQUEIRO,46.585,17.597,19.699,7.845
8175,ARARA AZUL,MACHO,MARAJO,1393.901,90.158,103.34,36.377
8176,ARARA AZUL,FEMEA,MARAJO,1176.102,93.798,89.639,31.458
8177,ARARA AZUL,MACHO,MARAJO,1128.548,90.487,100.626,29.867
8178,ANAMBE,FEMEA,MOSQUEIRO,61.19,17.074,12.548,12.662
8179,ANAMBE,MACHO,MOSQUEIRO,81.07,19.419,15.471,12.567
8180,ANAMBE,FEMEA,MOSQUEIRO,58.838,17.551,12.936,12.939
8181,ANAMBE,FEMEA,MOSQUEIRO,72.014,16.622,13.558,13.041
8182,ARARA AZUL,FEMEA,MARAJO,1167.447,93.479,92.848,33.345
8183,ANAMBE,MACHO,MOSQUEIRO,82.775,20.411,13.882,13.993
8184,PICA-PAU,FEMEA,MOSQUEIRO,59.989,20.928,23.275,9.139
8185,ANAMBE,FEMEA,MARAJO,81.229,20.486,15.202,12.652
8186,ANAMBE,MACHO,MARAJO,90.261,24.593,17.649,13.549
8187,ARARA AZUL,MACHO,MARAJO,1380.811,104.562,102.189,35.988
8188,ARARA AZUL,MACHO,MARAJO,1262.541,99.55,105.368,36.705
8189,ANAMBE,FEMEA,MARAJO,79.079,19.097,15.616,13.747
8190,ANAMBE,MACHO,MOSQUEIRO,76.086,21.103,14.517,14.499
8191,PICA-PAU,FEMEA,MOSQUEIRO,62.146,22.905,21.99,9.479
8192,PICA-PAU,FEMEA,MOSQUEIRO,49.099,18.227,21.95,10.839
8193,PICA-PAU,FEMEA,MOSQUEIRO,59.049,19.696,22.831,10.414
8194,ANANBE,FEMEA,MOSQUEIRO,70.968,16.606,14.409,13.247
8195,PICA-PAU,MACHO,MOSQUEIRO,63.319,22.983,25.788,12.884
8196,ANAMBE,FEMEA,MOSQUEIRO,72.448,14.061,12.237,13.355
8197,ANAMBE,MACHO,MOSQUEIRO,76.56,20.4,15.379,13.264
8198,ANAMBE,MACHO,MOSQUEIRO,80.951,18.67,14.684,16.558
8199,ARARA AZUL,MACHO,MARAJO,1319.133,89.757,95.722,44.007
8200,ARARA AZUL,FEMEA,MARAJO,1027.648,92.134,99.952,34.008
8201,ANAMBE,MACHO,MOSQUEIRO,69.354,21.83,14.373,13.325
8202,ARARA AZUL,FEMEA,MARAJO,1065.425,91.905,88.804,29.824
8203,ARARA AZUL,MACHO,MARAJO,1213.415,98.679,96.392,41.899
8204,ARARA AZUL,MACHO,MARAJO,1417.344,109.881,102.096,37.366
8205,ANAMBE,FEMEA,MOSQUEIRO,72.454,18.396,12.652,14.02
8206,ANAMBE,MACHO,MARAJO,81.956,19.51,18.379,16.483
8207,PICA-PAU,FEMEA,MOSQUEIRO,62.51,20.359,23.133,9.49
8208,ARARA AZUL,FEMEA,MARAJO,845.467,87.342,81.846,33.977
8209,ANAMBE,FEMEA,MOSQUEIRO,72.084,15.809,13.976,11.797
8210,ANAMBE,FEMEA,,67.568,18.54,15.112,13.712
8211,PICA-PAU,FEMEA,MOSQUEIRO,56.259,20.967,21.818,11.025
8212,ARARA AZUL,MACHO,MARAJO,1449.559,84.567,111.666,40.105
8213,ANAMBE,MACHO,MOSQUEIRO,69.217,18.864,15.695,13.239
8214,ANAMBE,FEMEA,MOSQUEIRO,71.301,13.908,15.751,17.223
8215,ARARA AZUL,FEMEA,MARAJO,1073.306,99.763,93.737,27.304
8216,ARARA AZUL,MACHO,MARAJO,1577.185,96.347,96.291,38.945
8217,ARARA AZUL,FEMEA,MARAJO,1069.184,87.533,92.206,33.686
8218,PICA-PAU,FEMEA,MOSQUEIRO,54.595,19.18,23.7,10.736
8219,ARARA AZUL,MACHO,MARAJO,1585.782,109.564,94.35,35.123
8220,PICA-PAU,FEMEA,MOSQUEIRO,63.267,21.295,24.791,9.492
8221,ANAMBE,FEMEA,MARAJO,72.403,21.287,14.606,15.677
8222,PICA-PAU,MACHO,MOSQUEIRO,68.941,20.881,23.275,12.304
8223,ANANBE,FEMEA,MARAJO,80.991,22.839,15.267,11.239
8224,ARARA AZUL,MACHO,MARAJO,1488.05,95.057,107.062,40.411
8225,ANAMBE,FEMEA,MOSQUEIRO,62.434,19.859,13.643,16.254
8226,ANAMBE,FEMEA,MOSQUEIRO,72.673,17.15,13.747,12.97
8227,PICA-PAU,FEMEA,MOSQUEIRO,47.295,19.821,21.758,10.239
8228,ANAMBE,MACHO,MOSQUEIRO,80.945,23.814,14.943,12.285
8229,ANAMBE,MACHO,MARAJO,96.25,27.717,18.415,14.503
8230,ANAMBE,FEMEA,MARAJO,66.649,18.996,15.214,11.949
8231,ANAMBE,FEMEA,MARAJO,80.058,23.197,15.458,12.849
8232,ANAMBE,FEMEA,MOSQUEIRO,63.751,15.701,13.793,10.64
8233,ANAMBE,FEMEA,MARAJO,77.739,19.477,14.788,11.05
8234,ANAMBE,MACHO,MARAJO,98.83,20.826,16.815,13.599
8235,PICA-PAU,MACHO,MOSQUEIRO,65.349,22.993,25.055,11.398
8236,ANAMBE,MACHO,MOSQUEIRO,76.205,20.386,16.435,12.946
8237,PICA-PAU,FEMEA,MOSQUEIRO,54.577,18.128,26.613,10.153
8238,ANAMBE,FEMEA,MARAJO,71.704,20.606,15.765,10.538
8239,PICA-PAU,FEMEA,MOSQUEIRO,52.405,19.03,24.162,8.044
8240,ANAMBE,MACHO,MOSQUEIRO,72.989,20.041,12.71,12.922
8241,PICA-PAU,FEMEA,MOSQUEIRO,57.097,20.801,21.078,9.737
8242,PICA-PAU,FEMEA,MOSQUEIRO,56.398,19.959,20.758,9.363
8243,ANAMBE,MACHO,MOSQUEIRO,79.09,18.763,14.908,11.168
8244,ANANBE,FEMEA,MARAJO,75.068,17.501,14.989,10.82
8245,ARARA AZUL,MACHO,MARAJO,1335.506,97.987,98.777,39.684
8246,ANAMBE,FEMEA,MARAJO,77.945,18.61,15.763,13.395
8247,ARARA AZUL,MACHO,MARAJO,1486.779,97.479,100.86,37.127
8248,PICA-PAU,FEMEA,MOSQUEIRO,56.827,19.905,22.705,9.417
8249,ARARA AZUL,MACHO,MARAJO,1197.302,98.708,102.879,40.888
8250,ANAMBE,MACHO,MOSQUEIRO,83.305,21.439,15.202,12.884
8251,ARARA AZUL,MACHO,MARAJO,1320.182,96.496,96.513,38.611
8252,PICA-PAU,MACHO,MOSQUEIRO,68.985,22.544,24.18,11.861
8253,ARARA AZUL,MACHO,MARAJO,1435.078,92.849,102.805,39.87
8254,ARARA AZUL,MACHO,MARAJO,1421.618,96.806,105.987,35.328
8255,ARARA AZUL,MACHO,MARAJO,1352.347,93.956,92.828,36.585
8256,PICA-PAU,FEMEA,MOSQUEIRO,45.463,20.129,22.878,9.654
8257,ANAMBE,MACHO,MOSQUEIRO,84.69,17.6,15.312,11.907
8258,PICA-PAU,MACHO,MOSQUEIRO,68.878,25.637,24.649,14.97
8259,ARARA AZUL,MACHO,MARAJO,1244.896,96.308,90.833,38.921
8260,ARARA AZUL,MACHO,MARAJO,1440.353,101.707,99.728,43.877
8261,ARARA AZUL,FEMEA,MARAJO,879.639,91.695,93.024,32.302
8262,ARARA AZUL,FEMEA,MARAJO,1033.762,90.95,94.305,33.399
8263,PICA-PAU,MACHO,MOSQUEIRO,73.848,23.162,25.155,10.276
8264,ARARA AZUL,FEMEA,MARAJO,1120.754,94.509,90.308,29.025
8265,ARARA AZUL,MACHO,MARAJO,1443.744,,92.736,37.653
8266,ANAMBE,MACHO,MOSQUEIRO,74.58,24.631,14.156,14.951
8267,PICA-PAU,FEMEA,MOSQUEIRO,52.265,22.296,23.332,9.094
8268,ANAMBE,MACHO,MOSQUEIRO,79.032,19.03,15.669,14.09
8269,ARARA AZUL,FEMEA,MARAJO,1082.597,88.74,87.991,35.796
8270,ANAMBE,MACHO,MOSQUEIRO,84.24,19.506,18.794,12.317
8271,ARARA AZUL,MACHO,MARAJO,1201.836,89.872,104.082,37.105
8272,PICA-PAU,FEMEA,MOSQUEIRO,49.372,18.224,24.586,10.148
8273,ANAMBE,MACHO,MARAJO,85.71,28.044,18.415,15.027
8274,ANAMBE,FEMEA,MOSQUEIRO,64.652,18.972,13.597,16.436
8275,ANAMBE,FEMEA,MOSQUEIRO,64.492,16.933,11.787,13.499
8276,ANAMBE,MACHO,MOSQUEIRO,81.883,21.113,14.588,11.259
8277,ARARA AZUL,MACHO,MARAJO,1612.857,102.572,106.911,37.123
8278,PICA-PAU,MACHO,MOSQUEIRO,62.217,22.99,23.986,11.924
8279,ANAMBE,MACHO,MOSQUEIRO,80.399,16.888,14.43,13.957
8280,ARARA AZUL,MACHO,MARAJO,1095.218,110.217,102.624,42.103
8281,ARARA AZUL,MACHO,MARAJO,1528.594,86.934,104.18,39.03
8282,ARARA AZUL,MACHO,MARAJO,1165.775,97.657,96.431,37.003
8283,PICA-PAU,FEMEA,MOSQUEIRO,51.502,21.183,22.085,10.631
8284,ARARA AZUL,FEMEA,MARAJO,1093.152,85.218,83.775,29.553
8285,ARARA AZUL,MACHO,MARAJO,1303.997,96.769,97.503,39.634
8286,ARARA AZUL,FEMEA,MARAJO,997.496,86.714,88.555,32.018
8287,ARARA AZUL,MACHO,MARAJO,1413.807,101.24,107.037,37.427
8288,PICA-PAU,MACHO,MOSQUEIRO,58.897,23.771,25.723,11.918
8289,PICA-PAU,FEMEA,MOSQUEIRO,56.009,21.352,21.032,10.053
8290,ANAMBE,FEMEA,MOSQUEIRO,65.62,16.444,11.234,15.66
8291,ANAMBE,FEMEA,MOSQUEIRO,68.884,15.985,11.902,15.058
8292,ARARA AZUL,MACHO,MARAJO,1562.155,93.695,100.534,35.245
8293,ARARA AZUL,FEMEA,MARAJO,1156.468,87.72,91.626,33.75
8294,PICA-PAU,FEMEA,MOSQUEIRO,54.988,17.764,22.497,8.959
8295,PICA-PAU,FEMEA,MOSQUEIRO,51.908,21.336,21.716,10.371
8296,ANAMBE,FEMEA,MOSQUEIRO,66.177,16.407,13.562,13.723
8297,ARARA AZUL,MACHO,MARAJO,1334.948,101.951,95.954,38.434
8298,ARARA AZUL,FEMEA,MARAJO,1165.414,84.517,94.951,33.151
8299,PICA-PAU,FEMEA,MOSQUEIRO,63.655,20.467,23.45,9.66
8300,ANAMBE,FEMEA,MOSQUEIRO,75.327,15.866,13.549,12.77
8301,ARARA AZUL,FEMEA,MARAJO,1070.009,93.056,90.199,32.452
8302,PICA-PAU,FEMEA,MOSQUEIRO,50.262,20.26,19.947,10.696
8303,ANAMBE,MACHO,MARAJO,76.669,20.021,18.101,14.497
8304,ARARA AZUL,MACHO,MARAJO,1357.916,99.223,100.89,39.692
8305,PICA-PAU,FEMEA,MOSQUEIRO,51.892,19.923,20.444,12.564
8306,PICA-PAU,MACHO,MOSQUEIRO,58.405,23.196,26.314,12.052
8307,ARARA AZUL,MACHO,MARAJO,1538.008,109.595,101.144,36.265
8308,ARARA AZUL,MACHO,MARAJO,1488.475,102.382,90.92,36.248
8309,ARARA AZUL,FEMEA,MARAJO,1308.338,100.771,88.461,26.199
8310,PICA-PAU,FEMEA,MOSQUEIRO,59.422,19.507,22.362,9.609
8311,PICA-PAU,FEMEA,MOSQUEIRO,51.831,19.684,24.641,10.318
8312,ANAMBE,FEMEA,MOSQUEIRO,75.437,19.621,11.716,12.459
8313,ARARA AZUL,MACHO,MARAJO,1290.203,95.753,103.339,36.47
8314,PICA-PAU,FEMEA,MOSQUEIRO,50.415,18.761,22.575,10.53
8315,PICA-PAU,FEMEA,MOSQUEIRO,51.06,18.237,22.638,10.193
8316,ARARA AZUL,MACHO,MARAJO,1389.706,95.727,105.393,43.576
8317,ANAMBE,MACHO,MARAJO,83.596,21.674,16.747,12.315
8318,ANAMBE,FEMEA,MOSQUEIRO,66.723,17.308,14.054,13.543
8319,ARARA AZUL,FEMEA,MARAJO,1206.574,90.904,91.813,34.4
8320,ANAMBE,FEMEA,MOSQUEIRO,65.955,14.56,12.582,15.191
8321,ANAMBE,FEMEA,MARAJO,72.423,18.563,17.287,14.372
8322,ARARA AZUL,MACHO,MARAJO,1275.035,95.657,99.046,32.422
8323,ANAMBE,FEMEA,MOSQUEIRO,65.964,19.06,12.975,13.477
8324,ANAMBE,MACHO,MOSQUEIRO,78.034,21.103,13.656,13.277
8325,ARARA AZUL,FEMEA,MARAJO,970.392,87.615,93.304,30.159
8326,ARARA AZUL,MACHO,MARAJO,1608.453,95.668,96.327,35.254
8327,ANAMBE,FEMEA,MOSQUEIRO,67.303,16.151,15.368,14.314
8328,ANAMBE,FEMEA,MOSQUEIRO,71.194,19.867,13.415,13.028
8329,ARARA AZUL,MACHO,MARAJO,1531.491,108.826,91.895,40.674
8330,PICA-PAU,FEMEA,MOSQUEIRO,48.713,19.183,22.302,10.624
8331,PICA-PAU,MACHO,MOSQUEIRO,73.058,20.953,23.575,10.157
8332,ANAMBE,FEMEA,MOSQUEIRO,72.495,18.402,15.137,16.07
8333,ARARA AZUL,MACHO,MARAJO,1258.481,100.154,91.448,40.576
8334,ARARA AZUL,MACHO,MARAJO,1485.025,101.461,92.337,38.533
8335,PICA-PAU,FEMEA,MOSQUEIRO,49.374,20.637,21.619,10.37
8336,ANAMBE,FEMEA,MOSQUEIRO,61.736,16.595,13.615,14.159
8337,ANAMBE,FEMEA,MOSQUEIRO,71.007,19.043,12.235,12.583
8338,ARARA AZUL,MACHO,MARAJO,1377.183,101.025,93.628,35.281
8339,ARARA AZUL,MACHO,MARAJO,1441.443,95.573,103.254,36.347
8340,ANAMBE,MACHO,MOSQUEIRO,84.057,22.239,14.608,13.508
8341,ANAMBE,MACHO,MARAJO,77.478,27.535,15.479,16.108
8342,ARARA AZUL,FEMEA,MARAJO,879.23,92.955,85.862,32.525
8343,ARARA AZUL,MACHO,MARAJO,1287.17,100.9,90.963,37.81
8344,ANAMBE,MACHO,MOSQUEIRO,90.45,18.529,13.221,10.973
8345,PICA-PAU,FEMEA,MOSQUEIRO,55.04,19.611,21.75,11.499
8346,ARARA AZUL,FEMEA,MARAJO,1061.943,89.687,101.523,28.711
8347,ANAMBE,FEMEA,MARAJO,71.701,18.382,14.731,12.369
8348,ANAMBE,FEMEA,MARAJO,79.397,19.268,16.245,11.493
8349,ANAMBE,MACHO,MOSQUEIRO,80.865,21.345,14.904,10.722
8350,ARARA AZUL,FEMEA,MARAJO,1125.403,88.697,95.792,27.663
8351,PICA-PAU,FEMEA,MOSQUEIRO,51.708,21.801,22.459,8.119
8352,ARARA AZUL,FEMEA,MARAJO,1313.812,93.354,91.601,38.497
8353,PICA-PAU,FEMEA,MOSQUEIRO,52.298,19.156,19.201,10.952
8354,PICA-PAU,FEMEA,MOSQUEIRO,56.507,,25.888,9.791
8355,ANAMBE,FEMEA,MARAJO,66.35,20.063,15.089,12.901
8356,ARARA AZUL,MACHO,MARAJO,1627.176,96.78,95.11,38.245
8357,ANAMBE,FEMEA,MOSQUEIRO,69.067,16.066,11.508,14.866
8358,ANAMBE,FEMEA,MOSQUEIRO,75.464,17.956,13.104,12.57
8359,ARARA AZUL,FEMEA,MARAJO,1019.21,89.123,95.321,36.24
8360,ANAMBE,MACHO,MOSQUEIRO,86.166,25.543,14.288,14.261
8361,PICA-PAU,FEMEA,MOSQUEIRO,56.145,21.435,26.186,11.224
8362,PICA-PAU,MACHO,MOSQUEIRO,62.522,19.567,23.035,12.266
8363,PICA-PAU,FEMEA,MOSQUEIRO,67.46,18.972,21.344,9.537
8364,ARARA AZUL,FEMEA,MARAJO,1107.325,82.777,97.35,30.576
8365,ARARA AZUL,MACHO,MARAJO,1367.55,98.205,91.152,35.486
8366,ANAMBE,MACHO,MARAJO,89.761,26.129,16.018,14.271
8367,PICA-PAU,MACHO,MOSQUEIRO,67.551,22.058,25.613,12.965
8368,PICA-PAU,FEMEA,MOSQUEIRO,60.708,,22.806,10.564
8369,ANAMBE,FEMEA,MARAJO,78.085,19.14,14.664,9.85
8370,ANAMBE,MACHO,MARAJO,86.357,20.725,17.645,14.346
8371,ANAMBE,FEMEA,MOSQUEIRO,59.997,,10.599,14.913
8372,PICA-PAU,FEMEA,MOSQUEIRO,54.88,21.274,21.678,10.246
8373,ANAMBE,FEMEA,MOSQUEIRO,62.969,18.306,15.65,16.208
8374,ANAMBE,FEMEA,MARAJO,68.429,18.644,14.072,13.336
8375,ANAMBE,MACHO,MOSQUEIRO,84.968,19.618,14.326,8.966
8376,ARARA AZUL,FEMEA,MARAJO,1201.04,86.225,86.394,30.314
8377,PICA-PAU,MACHO,MOSQUEIRO,62.799,25.208,28.363,10.686
8378,ANAMBE,FEMEA,MOSQUEIRO,70.207,19.16,13.48,11.186
8379,PICA-PAU,FEMEA,MOSQUEIRO,60.515,20.863,22.903,9.024
8380,ANAMBE,MACHO,MOSQUEIRO,91.614,20.092,15.297,13.816
8381,ARARA AZUL,FEMEA,MARAJO,1288.881,88.422,88.354,28.213
8382,ANAMBE,MACHO,MOSQUEIRO,78.747,20.089,12.893,12.355
8383,ANAMBE,MACHO,MOSQUEIRO,80.555,19.923,14.131,12.193
8384,ANAMBE,MACHO,MOSQUEIRO,86.951,17.797,16.297,13.809
8385,PICA-PAU,FEMEA,MOSQUEIRO,54.459,20.523,20.423,9.49
8386,PICA-PAU,FEMEA,MOSQUEIRO,47.854,20.084,25.169,8.958
8387,PICA-PAU,MACHO,MOSQUEIRO,71.009,21.794,25.742,10.982
8388,ARARA AZUL,MACHO,MARAJO,1455.033,90.049,110.043,35.729
8389,ANAMBE,FEMEA,MOSQUEIRO,60.844,17.902,12.865,17.57
8390,ANAMBE,MACHO,MARAJO,89.759,25.262,16.354,15.458
8391,ANAMBE,FEMEA,MOSQUEIRO,71.581,16.843,12.58,13.207
8392,ANAMBE,FEMEA,MOSQUEIRO,65.478,17.857,13.969,14.627
8393,ARARA AZUL,FEMEA,MARAJO,1195.324,84.907,91.574,35.141
8394,PICA-PAU,FEMEA,MOSQUEIRO,61.654,20.862,22.558,9.599
8395,ANAMBE,MACHO,MOSQUEIRO,83.14,24.094,14.479,14.361
8396,ARARA AZUL,MACHO,MARAJO,1325.093,94.198,94.442,32.789
8397,PICA-PAU,FEMEA,MOSQUEIRO,53.206,17.012,22.686,9.581
8398,ARARA AZUL,FEMEA,MARAJO,1255.065,92.426,101.759,33.901
8399,ARARA AZUL,FEMEA,MARAJO,1212.342,95.599,82.194,30.876
8400,ARARA AZUL,MACHO,MARAJO,1508.251,99.747,95.866,37.263
8401,ANAMBE,MACHO,MARAJO,85.732,,18.551,13.771
8402,ANAMBE,FEMEA,MOSQUEIRO,70.534,17.49,13.015,13.988
8403,PICA-PAU,MACHO,MOSQUEIRO,67.319,23.298,24.846,9.643
8404,ARARA AZUL,MACHO,MARAJO,1463.072,95.789,96.83,35.148
8405,ANAMBE,FEMEA,MOSQUEIRO,62.103,16.525,12.575,14.706
8406,PICA-PAU,FEMEA,MOSQUEIRO,55.764,23.682,21.97,10.199
8407,PICA-PAU,FEMEA,MOSQUEIRO,46.906,19.956,21.487,8.274
8408,ANAMBE,FEMEA,MOSQUEIRO,78.964,18.914,13.568,14.92
8409,ARARA AZUL,MACHO,MARAJO,1352.978,,94.641,37.807
8410,ANAMBE,MACHO,MOSQUEIRO,89.333,18.205,15.343,15.49
8411,ANAMBE,MACHO,MARAJO,82.767,20.563,18.067,15.884
8412,PICA-PAU,FEMEA,MOSQUEIRO,54.728,19.649,23.37,10.711
8413,ARARA AZUL,FEMEA,MARAJO,1140.469,90.522,83.051,35.238
8414,ANAMBE,FEMEA,MARAJO,75.955,20.575,14.94,11.104
8415,ANAMBE,MACHO,MOSQUEIRO,74.272,19.464,14.152,13.362
8416,PICA-PAU,MACHO,MOSQUEIRO,70.21,26.817,24.46,11.735
8417,ARARA AZUL,FEMEA,MARAJO,1118.156,91.973,89.414,26.773
8418,PICA-PAU,MACHO,MOSQUEIRO,63.966,21.741,23.533,13.459
8419,ANANBE,MACHO,MARAJO,81.123,22.893,16.878,14.3
8420,ANAMBE,MACHO,MARAJO,86.686,20.785,16.371,12.121
8421,ARARA AZUL,MACHO,MARAJO,1178.867,97.977,97.446,38.397
8422,PICA-PAU,FEMEA,MOSQUEIRO,44.364,19.424,23.599,11.63
